,base,quote,symbol_a,symbol_b
0,UNI,USDT,UNI/USDT:USDT,UNI/USDT:USDT
1,TNSR,USDT,TNSR/USDT:USDT,TNSR/USDT:USDT
2,BAL,USDT,BAL/USDT:USDT,BAL/USDT:USDT
3,MAGIC,USDT,MAGIC/USDT:USDT,MAGIC/USDT:USDT
4,TURBO,USDT,TURBO/USDT:USDT,TURBO/USDT:USDT
5,IP,USDT,IP/USDT:USDT,IP/USDT:USDT
6,PYTH,USDT,PYTH/USDT:USDT,PYTH/USDT:USDT
7,GAS,USDT,GAS/USDT:USDT,GAS/USDT:USDT
8,BIO,USDT,BIO/USDT:USDT,BIO/USDT:USDT
9,GMT,USDT,GMT/USDT:USDT,GMT/USDT:USDT
10,ETH,USDC,ETH/USDC:USDC,ETH/USDC:USDC
11,USTC,USDT,USTC/USDT:USDT,USTC/USDT:USDT
12,BERA,USDT,BERA/USDT:USDT,BERA/USDT:USDT
13,CFX,USDT,CFX/USDT:USDT,CFX/USDT:USDT
14,1INCH,USDT,1INCH/USDT:USDT,1INCH/USDT:USDT
15,FLOW,USDT,FLOW/USDT:USDT,FLOW/USDT:USDT
16,LQTY,USDT,LQTY/USDT:USDT,LQTY/USDT:USDT
17,NEO,USDT,NEO/USDT:USDT,NEO/USDT:USDT
18,ANIME,USDT,ANIME/USDT:USDT,ANIME/USDT:USDT
19,LPT,USDT,LPT/USDT:USDT,LPT/USDT:USDT
20,MEW,USDT,MEW/USDT:USDT,MEW/USDT:USDT
21,OM,USDT,OM/USDT:USDT,OM/USDT:USDT
22,TAO,USDT,TAO/USDT:USDT,TAO/USDT:USDT
23,TRB,USDT,TRB/USDT:USDT,TRB/USDT:USDT
24,ARKM,USDT,ARKM/USDT:USDT,ARKM/USDT:USDT
25,LSK,USDT,LSK/USDT:USDT,LSK/USDT:USDT
26,BADGER,USDT,BADGER/USDT:USDT,BADGER/USDT:USDT
27,MASK,USDT,MASK/USDT:USDT,MASK/USDT:USDT
28,MKR,USDT,MKR/USDT:USDT,MKR/USDT:USDT
29,KNC,USDT,KNC/USDT:USDT,KNC/USDT:USDT
30,T,USDT,T/USDT:USDT,T/USDT:USDT
31,BCH,USDT,BCH/USDT:USDT,BCH/USDT:USDT
32,COMP,USDT,COMP/USDT:USDT,COMP/USDT:USDT
33,OP,USDT,OP/USDT:USDT,OP/USDT:USDT
34,BNB,USDT,BNB/USDT:USDT,BNB/USDT:USDT
35,BSV,USDT,BSV/USDT:USDT,BSV/USDT:USDT
36,ZRX,USDT,ZRX/USDT:USDT,ZRX/USDT:USDT
37,DYDX,USDT,DYDX/USDT:USDT,DYDX/USDT:USDT
38,YFI,USDT,YFI/USDT:USDT,YFI/USDT:USDT
39,ZETA,USDT,ZETA/USDT:USDT,ZETA/USDT:USDT
40,NOT,USDT,NOT/USDT:USDT,NOT/USDT:USDT
41,LTC,USDT,LTC/USDT:USDT,LTC/USDT:USDT
