,base,quote,symbol_a,symbol_b
0,SWELL,USDT,SWELL/USDT:USDT,SWELL/USDT:USDT
1,AEVO,USDT,AEVO/USDT:USDT,AEVO/USDT:USDT
2,AUCTION,USDT,AUCTION/USDT:USDT,AUCTION/USDT:USDT
3,CHZ,USDT,CHZ/USDT:USDT,CHZ/USDT:USDT
4,BOME,USDT,BOME/USDT:USDT,BOME/USDT:USDT
5,MOVE,USDT,MOVE/USDT:USDT,MOVE/USDT:USDT
6,SLERF,USDT,SLERF/USDT:USDT,SLERF/USDT:USDT
7,YFI,USDT,YFI/USDT:USDT,YFI/USDT:USDT
8,AI16Z,USDT,AI16Z/USDT:USDT,AI16Z/USDT:USDT
9,PERP,USDT,PERP/USDT:USDT,PERP/USDT:USDT
10,UNI,USDT,UNI/USDT:USDT,UNI/USDT:USDT
11,JUP,USDT,JUP/USDT:USDT,JUP/USDT:USDT
12,RDNT,USDT,RDNT/USDT:USDT,RDNT/USDT:USDT
13,SAND,USDT,SAND/USDT:USDT,SAND/USDT:USDT
14,EOS,USDT,EOS/USDT:USDT,EOS/USDT:USDT
15,GRIFFAIN,USDT,GRIFFAIN/USDT:USDT,GRIFFAIN/USDT:USDT
16,APE,USDT,APE/USDT:USDT,APE/USDT:USDT
17,BNT,USDT,BNT/USDT:USDT,BNT/USDT:USDT
18,HBAR,USDT,HBAR/USDT:USDT,HBAR/USDT:USDT
19,TON,USDT,TON/USDT:USDT,TON/USDT:USDT
20,FLM,USDT,FLM/USDT:USDT,FLM/USDT:USDT
21,BIO,USDT,BIO/USDT:USDT,BIO/USDT:USDT
22,COOKIE,USDT,COOKIE/USDT:USDT,COOKIE/USDT:USDT
23,LAYER,USDT,LAYER/USDT:USDT,LAYER/USDT:USDT
24,UXLINK,USDT,UXLINK/USDT:USDT,UXLINK/USDT:USDT
25,IMX,USDT,IMX/USDT:USDT,IMX/USDT:USDT
26,CATI,USDT,CATI/USDT:USDT,CATI/USDT:USDT
27,TRX,USDT,TRX/USDT:USDT,TRX/USDT:USDT
28,ADA,USDT,ADA/USDT:USDT,ADA/USDT:USDT
29,WOO,USDT,WOO/USDT:USDT,WOO/USDT:USDT
30,LDO,USDT,LDO/USDT:USDT,LDO/USDT:USDT
31,W,USDT,W/USDT:USDT,W/USDT:USDT
32,KSM,USDT,KSM/USDT:USDT,KSM/USDT:USDT
33,CRV,USDT,CRV/USDT:USDT,CRV/USDT:USDT
34,BERA,USDT,BERA/USDT:USDT,BERA/USDT:USDT
35,GALA,USDT,GALA/USDT:USDT,GALA/USDT:USDT
36,ICX,USDT,ICX/USDT:USDT,ICX/USDT:USDT
37,PYTH,USDT,PYTH/USDT:USDT,PYTH/USDT:USDT
38,OM,USDT,OM/USDT:USDT,OM/USDT:USDT
39,LINK,USDT,LINK/USDT:USDT,LINK/USDT:USDT
40,BICO,USDT,BICO/USDT:USDT,BICO/USDT:USDT
41,ONE,USDT,ONE/USDT:USDT,ONE/USDT:USDT
42,ZRX,USDT,ZRX/USDT:USDT,ZRX/USDT:USDT
43,MINA,USDT,MINA/USDT:USDT,MINA/USDT:USDT
44,AGLD,USDT,AGLD/USDT:USDT,AGLD/USDT:USDT
45,HMSTR,USDT,HMSTR/USDT:USDT,HMSTR/USDT:USDT
46,PENGU,USDT,PENGU/USDT:USDT,PENGU/USDT:USDT
47,DOGE,USDT,DOGE/USDT:USDT,DOGE/USDT:USDT
48,BAL,USDT,BAL/USDT:USDT,BAL/USDT:USDT
49,AIXBT,USDT,AIXBT/USDT:USDT,AIXBT/USDT:USDT
50,QTUM,USDT,QTUM/USDT:USDT,QTUM/USDT:USDT
51,POPCAT,USDT,POPCAT/USDT:USDT,POPCAT/USDT:USDT
52,ACE,USDT,ACE/USDT:USDT,ACE/USDT:USDT
53,DYDX,USDT,DYDX/USDT:USDT,DYDX/USDT:USDT
54,MOODENG,USDT,MOODENG/USDT:USDT,MOODENG/USDT:USDT
55,BTC,USDC,BTC/USDC:USDC,BTC/USDC:USDC
56,USDC,USDT,USDC/USDT:USDT,USDC/USDT:USDT
57,CELO,USDT,CELO/USDT:USDT,CELO/USDT:USDT
58,LTC,USDT,LTC/USDT:USDT,LTC/USDT:USDT
59,OP,USDT,OP/USDT:USDT,OP/USDT:USDT
60,ALGO,USDT,ALGO/USDT:USDT,ALGO/USDT:USDT
61,RENDER,USDT,RENDER/USDT:USDT,RENDER/USDT:USDT
62,SUSHI,USDT,SUSHI/USDT:USDT,SUSHI/USDT:USDT
63,AR,USDT,AR/USDT:USDT,AR/USDT:USDT
64,SOLV,USDT,SOLV/USDT:USDT,SOLV/USDT:USDT
65,XLM,USDT,XLM/USDT:USDT,XLM/USDT:USDT
66,ZRO,USDT,ZRO/USDT:USDT,ZRO/USDT:USDT
67,JOE,USDT,JOE/USDT:USDT,JOE/USDT:USDT
68,T,USDT,T/USDT:USDT,T/USDT:USDT
69,BCH,USDT,BCH/USDT:USDT,BCH/USDT:USDT
70,VINE,USDT,VINE/USDT:USDT,VINE/USDT:USDT
71,ICP,USDT,ICP/USDT:USDT,ICP/USDT:USDT
72,AVAX,USDT,AVAX/USDT:USDT,AVAX/USDT:USDT
73,ZK,USDT,ZK/USDT:USDT,ZK/USDT:USDT
74,BIGTIME,USDT,BIGTIME/USDT:USDT,BIGTIME/USDT:USDT
75,EGLD,USDT,EGLD/USDT:USDT,EGLD/USDT:USDT
76,FXS,USDT,FXS/USDT:USDT,FXS/USDT:USDT
77,BLUR,USDT,BLUR/USDT:USDT,BLUR/USDT:USDT
78,ZEREBRO,USDT,ZEREBRO/USDT:USDT,ZEREBRO/USDT:USDT
79,GMX,USDT,GMX/USDT:USDT,GMX/USDT:USDT
80,CETUS,USDT,CETUS/USDT:USDT,CETUS/USDT:USDT
81,NEIRO,USDT,NEIRO/USDT:USDT,NEIRO/USDT:USDT
82,YGG,USDT,YGG/USDT:USDT,YGG/USDT:USDT
83,ETH,USDC,ETH/USDC:USDC,ETH/USDC:USDC
84,TRB,USDT,TRB/USDT:USDT,TRB/USDT:USDT
85,LQTY,USDT,LQTY/USDT:USDT,LQTY/USDT:USDT
86,METIS,USDT,METIS/USDT:USDT,METIS/USDT:USDT
87,LSK,USDT,LSK/USDT:USDT,LSK/USDT:USDT
88,UMA,USDT,UMA/USDT:USDT,UMA/USDT:USDT
89,BAND,USDT,BAND/USDT:USDT,BAND/USDT:USDT
90,IP,USDT,IP/USDT:USDT,IP/USDT:USDT
91,ETH,USDT,ETH/USDT:USDT,ETH/USDT:USDT
92,ETC,USDT,ETC/USDT:USDT,ETC/USDT:USDT
93,MEW,USDT,MEW/USDT:USDT,MEW/USDT:USDT
94,NEAR,USDT,NEAR/USDT:USDT,NEAR/USDT:USDT
95,SHELL,USDT,SHELL/USDT:USDT,SHELL/USDT:USDT
96,ACH,USDT,ACH/USDT:USDT,ACH/USDT:USDT
97,CFX,USDT,CFX/USDT:USDT,CFX/USDT:USDT
98,TRUMP,USDT,TRUMP/USDT:USDT,TRUMP/USDT:USDT
99,GRT,USDT,GRT/USDT:USDT,GRT/USDT:USDT
100,WLD,USDT,WLD/USDT:USDT,WLD/USDT:USDT
101,DOGS,USDT,DOGS/USDT:USDT,DOGS/USDT:USDT
102,STRK,USDT,STRK/USDT:USDT,STRK/USDT:USDT
103,RSR,USDT,RSR/USDT:USDT,RSR/USDT:USDT
104,POL,USDT,POL/USDT:USDT,POL/USDT:USDT
105,PIPPIN,USDT,PIPPIN/USDT:USDT,PIPPIN/USDT:USDT
106,ARB,USDT,ARB/USDT:USDT,ARB/USDT:USDT
107,FIL,USDT,FIL/USDT:USDT,FIL/USDT:USDT
108,XTZ,USDT,XTZ/USDT:USDT,XTZ/USDT:USDT
109,BSV,USDT,BSV/USDT:USDT,BSV/USDT:USDT
110,VIRTUAL,USDT,VIRTUAL/USDT:USDT,VIRTUAL/USDT:USDT
